,0,1,2
371,0,2,54
372,83,2,53
373,83,2,53
374,83,3,54
375,83,2,52
376,83,2,51
377,5,2,55
378,0,2,52
379,0,2,50
380,0,2,54
381,83,2,52
382,83,2,49
383,83,2,51
384,83,2,52
385,82,2,50
386,82,2,51
387,82,2,52
388,83,2,52
389,82,2,51
390,82,3,54
391,83,3,52
392,83,2,51
393,83,3,55
394,83,2,52
395,0,3,52
396,0,2,53
397,0,2,53
398,0,3,52
399,5,3,54
400,0,3,48
401,0,2,49
402,0,2,52
403,0,2,56
404,0,2,53
405,0,2,52
406,6,3,55
407,6,3,54
408,6,2,51
409,5,2,53
410,5,2,54
411,0,2,52
412,4,2,49
413,0,3,48
414,0,3,47
415,4,3,47
416,7,2,46
417,0,2,46
418,4,2,48
419,0,2,47
420,0,2,46
421,4,2,47
422,5,2,51
423,0,2,49
424,0,2,50
425,0,2,55
426,0,2,54
427,0,2,55
428,0,2,54
429,4,2,57
430,0,2,49
431,0,2,48
432,0,2,47
433,0,2,47
434,0,2,47
435,0,2,47
436,0,2,48
437,0,2,58
438,0,2,59
439,0,2,59
440,0,2,58
441,0,2,61
442,3,2,60
443,0,2,60
444,0,2,60
445,0,2,51
446,0,2,48
447,0,2,49
448,0,2,52
449,0,2,60
450,0,2,62
451,0,2,56
452,0,2,52
453,0,2,53
454,0,1,51
455,0,1,51
456,0,2,48
457,0,2,52
458,0,1,50
459,0,2,49
460,0,2,55
461,0,2,50
462,0,2,53
463,0,2,49
464,0,2,47
465,0,2,47
466,0,2,48
467,0,2,48
468,0,2,46
469,0,2,49
470,0,2,45
471,6,2,49
472,0,2,52
473,0,2,45
474,0,2,49
475,0,2,48
476,0,2,49
477,0,3,51
478,0,3,47
479,0,3,48
480,0,2,47
481,0,2,48
482,0,2,53
483,0,2,49
484,0,2,49
485,0,2,48
486,0,2,49
487,0,0,53
488,0,0,50
489,0,0,51
490,0,0,52
491,0,2,51
492,0,2,55
493,0,0,55
494,0,0,51
495,0,2,59
496,0,2,59
497,0,2,57
498,0,2,58
499,0,2,55
500,0,2,53
501,0,2,52
502,0,2,53
503,0,2,54
504,0,2,50
505,84,2,54
506,0,2,60
507,0,2,53
508,0,2,56
509,0,2,61
510,0,0,55
511,0,0,54
512,0,2,62
513,0,2,64
514,0,2,56
515,0,3,61
516,0,2,53
517,0,2,58
518,0,2,61
519,0,2,59
520,0,2,56
521,5,2,58
522,0,2,64
523,0,3,60
524,0,3,53
525,0,2,59
526,0,3,71
527,0,3,58
528,0,3,61
529,0,2,66
530,0,2,56
531,0,2,57
532,0,2,64
533,0,2,65
534,0,2,56
535,6,2,59
536,0,2,66
537,6,2,56
538,0,2,53
539,0,3,64
540,6,2,72
541,0,2,56
542,0,2,60
543,0,2,70
544,0,2,65
545,0,2,61
546,0,2,60
547,0,2,68
548,0,2,72
549,0,2,56
550,0,2,63
551,0,2,73
552,0,2,69
553,0,2,59
554,5,2,64
555,5,3,71
556,0,3,73
557,5,3,60
558,0,3,62
559,0,3,70
560,6,3,72
561,0,3,69
562,6,3,63
563,0,3,69
564,0,3,72
565,0,3,67
566,3,3,65
567,0,3,70
568,0,3,72
569,10,3,71
570,0,3,68
571,11,3,67
572,12,3,65
573,8,3,65
574,0,3,68
575,0,0,66
576,0,0,65
577,0,0,65
578,0,0,65
579,0,0,66
580,0,0,68
581,0,0,70
582,0,3,72
583,19,3,73
584,19,3,65
585,21,3,64
586,22,3,69
587,20,3,73
588,19,3,72
589,17,3,68
590,16,3,67
591,15,3,72
592,15,3,73
593,15,3,72
594,16,3,71
595,18,3,69
596,20,3,70
597,23,3,69
598,23,3,70
599,80,3,71
600,0,3,66
601,0,3,69
602,0,3,70
603,0,3,70
604,0,3,70
605,0,3,70
606,0,3,70
607,0,3,71
608,6,3,71
609,0,3,70
610,0,3,69
611,0,3,68
612,0,3,67
613,0,3,67
614,0,3,66
615,8,3,67
616,0,3,67
617,0,3,67
618,0,3,68
619,0,3,68
620,0,3,69
621,8,3,69
622,0,3,68
623,0,3,67
624,0,3,67
625,0,3,68
626,0,3,68
627,0,3,67
628,0,3,67
629,0,3,68
630,0,3,67
631,8,3,68
632,0,3,68
633,12,3,69
634,0,3,69
635,0,3,69
636,0,0,69
637,0,0,60
638,0,0,56
639,0,0,56
640,0,0,52
641,0,0,47
642,0,0,45
643,0,0,44
644,0,0,44
645,0,0,44
646,0,0,42
647,0,0,40
648,0,0,42
649,0,3,40
650,0,0,38
651,0,0,46
652,0,3,47
653,0,0,45
654,0,0,48
655,0,3,48
656,0,3,48
657,0,3,50
658,0,3,48
659,0,3,48
660,0,3,48
661,0,0,46
662,0,3,46
